a_10862,b_648
a_2612,b_1018
a_1538,b_1024
a_12179,b_17
a_10240,b_980
a_1218,b_322
a_11832,b_97
a_1362,b_21
a_6055,b_1052
a_11036,b_727
a_8438,b_591
a_7175,b_638
a_7644,b_1119
a_4204,b_150
a_7430,b_227
a_6482,b_1013
a_10803,b_1130
a_6222,b_935
a_3760,b_229
a_2848,b_1112
a_4568,b_1220
a_8373,b_1173
a_5114,b_884
a_10672,b_1117
a_10044,b_862
a_9496,b_1089
a_7271,b_614
a_10493,b_174
a_6171,b_705
a_4830,b_161
a_696,b_260
a_683,b_730
a_8577,b_945
a_1914,b_1183
a_6888,b_91
a_3656,b_1368
a_2994,b_1541
a_4146,b_546
a_2737,b_347
a_624,b_167
a_9601,b_1250
a_3748,b_587
a_8152,b_1393
a_7982,b_980
a_2912,b_22
a_2824,b_1297
a_5885,b_561
a_3213,b_149
a_11142,b_1475
a_83,b_792
a_94,b_1270
a_9265,b_766
a_1925,b_701
a_1112,b_124
a_5423,b_1063
a_5496,b_88
a_3310,b_90
a_440,b_1387
a_9436,b_1110
a_124,b_733
a_2558,b_860
a_11588,b_1092
a_7516,b_843
a_5515,b_217
a_4862,b_1134
a_2620,b_775
a_6978,b_528
a_1976,b_1410
a_10356,b_1103
a_1010,b_412
a_6883,b_448
a_1406,b_504
a_7898,b_1486
a_8036,b_1530
a_3248,b_1008
a_7571,b_19
a_2523,b_680
a_545,b_1498
a_2883,b_956
a_6587,b_1318
a_7408,b_960
a_9467,b_74
a_6810,b_633
a_9679,b_882
a_8424,b_1424
a_5564,b_1106
a_5721,b_1038
a_11508,b_889
a_10298,b_151
a_8549,b_508
a_3216,b_263
a_8266,b_1309
a_5964,b_202
a_4915,b_1065
a_3634,b_663
a_2988,b_921
a_5705,b_556
a_3757,b_614
a_9152,b_24
a_1861,b_1052
a_7928,b_1379
a_9955,b_539
a_1392,b_559
a_7296,b_125
a_3951,b_725
a_1790,b_422
a_7414,b_213
a_7459,b_759
a_4490,b_1241
a_2880,b_403
a_10192,b_1318
a_10437,b_483
a_9979,b_1515
a_4108,b_1000
a_5019,b_331
a_3,b_861
a_2447,b_305
a_12130,b_1103
a_11886,b_281
a_6285,b_710
a_10993,b_88
a_632,b_1089
a_7115,b_1091
a_5231,b_1550
a_1471,b_303
a_11916,b_808
a_6300,b_1360
a_196,b_511
a_8917,b_182
a_8337,b_1320
a_985,b_1338
a_7285,b_421
a_1588,b_941
a_6541,b_1102
a_3940,b_55
a_9142,b_113
a_5789,b_368
a_1385,b_172
a_5949,b_247
a_3045,b_253
a_11857,b_633
a_5922,b_1130
a_2689,b_900
a_10925,b_1441
a_3969,b_1009
a_10096,b_286
a_11304,b_934
a_10582,b_526
a_9236,b_872
a_5328,b_931
a_4358,b_603
a_5290,b_716
a_370,b_870
a_1406,b_56
a_925,b_626
a_1895,b_608
a_10206,b_69
a_7686,b_843
a_8333,b_1175
a_8868,b_969
a_4414,b_211
a_2469,b_707
a_6843,b_114
a_10482,b_377
a_9959,b_184
a_7181,b_1303
a_11121,b_1435
a_4606,b_1236
a_7519,b_1431
a_2427,b_1051
a_6718,b_284
a_311,b_205
a_6860,b_195
a_7542,b_307
a_3058,b_354
a_11970,b_438
a_3796,b_44
a_3548,b_234
a_5043,b_784
a_2493,b_200
a_2946,b_93
a_3955,b_156
a_893,b_322
a_10125,b_925
a_5449,b_461
a_9627,b_236
a_5125,b_400
a_3082,b_1470
a_6004,b_1189
a_5984,b_1119
a_8429,b_25
a_11485,b_603
a_4222,b_645
a_9152,b_193
a_4834,b_718
a_4631,b_726
a_5146,b_187
a_6195,b_69
a_8843,b_383
a_8513,b_873
a_8771,b_1454
a_7931,b_1331
