c_20804,d_11450
c_8590,d_11761
c_3280,d_15903
c_12442,d_5874
c_2108,d_6283
c_30734,d_23478
c_15012,d_19442
c_14380,d_20914
c_19512,d_4416
c_26356,d_26970
c_26069,d_18049
c_11481,d_18293
c_9103,d_21137
c_8225,d_30931
c_6904,d_24389
c_15806,d_26156
c_30106,d_8799
c_15976,d_4210
c_6972,d_2292
c_16250,d_11570
c_12819,d_2008
c_23410,d_27919
c_1597,d_16913
c_27344,d_16944
c_28417,d_30132
c_1362,d_5746
c_25527,d_28881
c_205,d_17543
c_1194,d_31263
c_11949,d_19796
c_31033,d_27914
c_15531,d_15186
c_22305,d_950
c_21467,d_14589
c_9120,d_1895
c_27820,d_29118
c_28291,d_13392
c_22647,d_16986
c_29812,d_15145
c_17439,d_17142
c_10409,d_15793
c_27850,d_6276
c_15095,d_8446
c_24293,d_17018
c_5736,d_7053
c_8322,d_2228
c_9782,d_4330
c_6757,d_2560
c_18046,d_22105
c_17876,d_25888
c_14050,d_9535
c_13044,d_8526
c_23653,d_455
c_20779,d_24720
c_28136,d_20024
c_14766,d_24039
c_22609,d_20999
c_8868,d_12925
c_17516,d_23765
c_9575,d_10085
c_27610,d_7485
c_22677,d_15984
c_7621,d_6687
c_21410,d_16940
c_14643,d_9974
c_9330,d_26116
c_10830,d_9493
c_26652,d_24906
c_27552,d_8520
c_29066,d_7592
c_1007,d_29858
c_10286,d_9905
c_21820,d_10639
c_25651,d_2279
c_17087,d_29636
c_29410,d_20502
c_14231,d_16236
c_20204,d_15574
c_10062,d_22517
c_9561,d_15556
c_18653,d_6467
c_26829,d_30361
c_3736,d_20383
c_2163,d_9746
c_14558,d_15108
c_1511,d_3434
c_9056,d_29839
c_26259,d_17042
c_11074,d_26459
c_12673,d_28399
c_8802,d_26418
c_20965,d_22060
c_24211,d_3427
c_28015,d_10020
c_12647,d_15863
c_19142,d_23025
c_24895,d_30497
c_12135,d_28355
c_4139,d_6699
c_12190,d_8108
c_18524,d_26937
c_9541,d_30556
c_17158,d_3384
c_3402,d_27557
c_4916,d_15015
c_171,d_26383
c_12215,d_26987
c_13516,d_26212
c_10373,d_10539
c_26193,d_31104
c_29370,d_15429
c_16699,d_17406
c_23174,d_29447
c_18171,d_7078
c_7667,d_12956
c_28106,d_23595
c_12572,d_8662
c_12992,d_28408
c_20394,d_24368
c_8155,d_2657
c_29134,d_20744
c_11971,d_29276
c_19573,d_20078
c_5043,d_16842
c_5304,d_3112
c_23686,d_9138
c_18273,d_12118
c_12146,d_20135
c_26512,d_3532
c_26593,d_18408
c_5725,d_2250
c_21448,d_17049
c_21076,d_30176
c_9419,d_11554
c_25377,d_5490
c_9756,d_2721
c_23227,d_20955
c_14489,d_31182
c_1778,d_26507
c_2943,d_2131
c_22934,d_26286
c_6692,d_23462
c_22109,d_7513
c_2974,d_18902
c_10358,d_10262
c_23379,d_6777
c_27578,d_17497
c_6459,d_26880
c_22596,d_26599
c_4892,d_13689
c_28443,d_10313
c_8991,d_7109
c_1739,d_5821
c_852,d_11945
c_9613,d_23581
c_644,d_15254
c_3779,d_5998
c_619,d_10301
c_21586,d_13726
c_4376,d_6935
c_7285,d_22218
c_21353,d_20757
c_9729,d_7975
c_23897,d_7234
c_4868,d_22046
c_20335,d_4328
c_24564,d_31345
c_1371,d_15655
c_6392,d_18135
c_1447,d_11834
c_2198,d_3230
c_18099,d_23300
c_24744,d_4532
c_16027,d_3845
c_17458,d_1083
c_22125,d_1184
c_11852,d_28050
c_14952,d_26735
c_25819,d_26246
c_4895,d_20682
c_27985,d_13098
c_14317,d_22007
c_5965,d_20946
c_27459,d_10891
c_11370,d_1641
c_13813,d_15960
c_21299,d_7398
c_12395,d_30263
c_28890,d_2592
c_25511,d_19675
c_25885,d_23637
c_12687,d_14603
c_15712,d_7319
c_15685,d_6338
c_24385,d_31190
c_10830,d_21445
c_26912,d_17580
c_25565,d_28643
c_414,d_3994
c_21212,d_30113
c_20792,d_19068
c_9228,d_19130
c_29468,d_13739
c_10,d_4973
c_10759,d_26341
c_17825,d_30277
c_3824,d_23893
c_24959,d_13019
c_15223,d_12603
c_25507,d_8899
