d_12506,e_27046
d_7728,e_43708
d_21153,e_23570
d_27890,e_4106
d_846,e_20365
d_10471,e_507
d_11918,e_23871
d_12743,e_12676
d_13497,e_15530
d_10151,e_29232
d_29320,e_3616
d_6990,e_19154
d_12669,e_45340
d_24267,e_43115
d_13775,e_9699
d_5311,e_44929
d_18393,e_36436
d_10341,e_12140
d_13261,e_46776
d_20896,e_45784
d_27398,e_10294
d_3336,e_44680
d_29742,e_3985
d_44,e_22938
d_8585,e_24191
d_23344,e_46794
d_15003,e_24921
d_24448,e_23395
d_26867,e_11554
d_20350,e_20900
d_9391,e_22587
d_12832,e_20125
d_23659,e_10273
d_11163,e_44387
d_23542,e_17097
d_18990,e_19541
d_27017,e_18609
d_1453,e_31179
d_14095,e_8573
d_15714,e_33298
d_9139,e_24162
d_28761,e_597
d_7537,e_17648
d_2245,e_31615
d_23547,e_42170
d_2590,e_46745
d_24777,e_42030
d_16969,e_31202
d_14082,e_2526
d_18576,e_45583
d_17627,e_19189
d_24383,e_5133
d_27470,e_12691
d_3736,e_45012
d_25011,e_44415
d_17325,e_45512
d_4213,e_20377
d_30082,e_26974
d_16473,e_16038
d_9712,e_25023
d_4414,e_1532
d_12348,e_22903
d_22462,e_44146
d_14606,e_24074
d_21580,e_6587
d_9937,e_17083
d_27208,e_4257
d_8421,e_1414
d_7923,e_14193
d_16364,e_35398
d_26492,e_349
d_2623,e_43645
d_2239,e_13352
d_1464,e_12545
d_4831,e_38890
d_10452,e_35742
d_21963,e_45064
d_14655,e_22479
d_29632,e_30586
d_1952,e_7845
d_26154,e_18274
d_24110,e_43560
d_10366,e_3788
d_4625,e_10712
d_10698,e_9231
d_24164,e_45208
d_8807,e_1719
d_19632,e_19919
d_5824,e_14176
d_26888,e_38254
d_13208,e_14065
d_23860,e_24341
d_18638,e_20995
d_628,e_36152
d_8899,e_5480
d_12209,e_23814
d_24701,e_41641
d_27810,e_1792
d_6069,e_15126
d_5373,e_8147
d_15879,e_17493
d_485,e_13663
d_23374,e_12018
d_19390,e_38282
d_12365,e_19350
d_23660,e_44675
d_12730,e_42368
d_12284,e_29419
d_11606,e_5148
d_22417,e_36875
d_16916,e_37883
d_16516,e_41668
d_5618,e_39144
d_19572,e_45384
d_30081,e_39926
d_1233,e_42961
d_27470,e_42557
d_3673,e_12516
d_16104,e_35261
d_8982,e_26511
d_27585,e_21984
d_20052,e_14760
d_25304,e_35701
d_19129,e_27218
d_11665,e_1993
d_7193,e_11627
d_16992,e_10899
d_642,e_14727
d_13304,e_8315
d_9513,e_20950
d_6602,e_7084
d_3385,e_22315
d_25841,e_15723
d_1603,e_32192
d_8631,e_33620
d_29355,e_8623
d_575,e_27780
d_9310,e_36578
d_29159,e_40708
d_13546,e_6486
d_339,e_44660
d_7442,e_4218
d_6773,e_6966
d_6311,e_43744
d_15784,e_15122
d_23365,e_9690
d_12379,e_42540
d_3348,e_45309
d_26243,e_8868
d_19539,e_26203
d_11046,e_3181
d_13816,e_32965
d_25176,e_20659
d_8265,e_47067
d_5839,e_18607
d_11560,e_35769
d_23293,e_792
d_22702,e_34992
d_24028,e_21255
d_29983,e_43571
d_25888,e_5164
d_2704,e_6558
d_20604,e_40107
d_27106,e_36374
d_28316,e_24470
d_7430,e_34441
d_20652,e_17228
d_21137,e_36482
d_30695,e_45767
d_4244,e_46668
d_22761,e_36892
d_27030,e_13287
d_4429,e_35847
d_10464,e_40484
d_20269,e_11516
d_18818,e_11209
d_4622,e_4719
d_18511,e_37776
d_2965,e_26500
d_18477,e_11038
d_7035,e_34576
d_557,e_14083
d_1070,e_27481
d_22933,e_19674
d_28796,e_19234
d_2885,e_29150
d_17461,e_19632
d_6874,e_39103
d_19058,e_19077
d_13276,e_9740
d_14249,e_23676
d_25744,e_37090
d_2462,e_11035
d_8595,e_4662
d_6822,e_3354
d_21548,e_18405
d_2168,e_18642
d_28166,e_25943
d_9522,e_20489
d_1614,e_34126
d_19380,e_39401
d_7213,e_4639
d_11331,e_14593
d_25745,e_46321
d_25783,e_1890
d_16701,e_38635
d_10313,e_25690
d_26438,e_35044
d_25781,e_12438
d_21928,e_31039
d_18720,e_41473
d_688,e_8276
d_5081,e_32477
d_4309,e_7857
d_23012,e_29344
d_1523,e_26305
d_25445,e_45647
d_28442,e_34627
d_7750,e_2166
d_11170,e_34898
d_8551,e_8309
d_21968,e_20254
d_646,e_8026
d_11950,e_1467
d_15863,e_45823
d_17088,e_4621
d_18269,e_41338
d_30377,e_23653
d_16389,e_40306
d_23491,e_20738
d_7024,e_21961
d_23236,e_29682
d_24506,e_23469
d_18264,e_23879
d_21763,e_36042
d_29019,e_38851
d_26728,e_6532
d_550,e_33854
d_4692,e_36669
d_15465,e_9160
d_19636,e_16404
d_2005,e_3507
d_28659,e_45597
d_16973,e_40869
d_22446,e_21078
d_24666,e_21910
d_10914,e_34459
d_30463,e_46579
d_2807,e_16526
d_905,e_45470
d_15548,e_38333
d_25362,e_2161
d_29738,e_26397
d_1236,e_38823
d_1192,e_40333
d_19009,e_26554
d_31167,e_28418
d_17164,e_20617
d_19293,e_17748
d_11432,e_19673
d_8314,e_5237
d_17592,e_25192
d_5557,e_46860
d_24286,e_37106
d_23487,e_24611
d_2918,e_3054
d_23493,e_37681
d_5718,e_44253
d_9853,e_17408
d_468,e_38999
d_22963,e_984
d_26948,e_30872
d_11329,e_35151
d_24108,e_39481
d_4717,e_6944
d_28814,e_19859
d_12883,e_27267
d_13365,e_11885
d_14072,e_9979
d_20041,e_34789
d_24055,e_4040
d_16995,e_25048
d_19261,e_28976
d_5402,e_11291
d_26539,e_37176
