f_51542,d_14460
f_389678,d_199
f_365866,d_7911
f_25107,d_20641
f_218590,d_23792
f_432870,d_18782
f_137405,d_13422
f_26737,d_25168
f_373477,d_6658
f_222790,d_18885
f_332214,d_8225
f_171134,d_30794
f_259322,d_7539
f_465542,d_6745
f_122146,d_22872
f_57965,d_28105
f_457504,d_1929
f_618175,d_3488
f_112965,d_11905
f_106679,d_17804
f_267695,d_9609
f_50604,d_16990
f_569203,d_7667
f_466535,d_15405
f_215936,d_10379
f_89017,d_22167
f_569918,d_22640
f_87205,d_22515
f_496875,d_29658
f_142019,d_23495
f_290454,d_14280
f_349,d_19268
f_276002,d_11189
f_422396,d_19805
f_137016,d_27476
f_413009,d_19879
f_624530,d_12714
f_338678,d_16561
f_181690,d_1655
f_636528,d_16209
f_348260,d_9166
f_194781,d_9966
f_549831,d_11151
f_570257,d_21549
f_54934,d_738
f_36651,d_12559
f_115992,d_7635
f_606954,d_4540
f_504158,d_10318
f_637068,d_8216
f_411255,d_8464
f_263477,d_14373
f_517634,d_18987
f_496181,d_10197
f_336975,d_21001
f_143563,d_7587
f_129808,d_2086
f_252904,d_10710
f_388729,d_19377
f_134861,d_1461
f_104740,d_6078
f_427913,d_12100
f_527606,d_10500
f_144685,d_17604
f_593738,d_29925
f_277322,d_24213
f_451534,d_18890
f_85679,d_681
f_346640,d_5477
f_110986,d_17057
f_486259,d_28505
f_615352,d_26377
f_521296,d_10148
f_543081,d_11778
f_142428,d_21042
f_168710,d_30734
f_442947,d_28194
f_465659,d_1133
f_131848,d_7293
f_86296,d_14477
f_612808,d_15229
f_88803,d_521
f_480763,d_15758
f_108521,d_27792
f_550061,d_26849
f_190545,d_17375
f_18585,d_737
f_73025,d_15088
f_643241,d_680
f_632277,d_3100
f_555176,d_5085
f_96347,d_5649
f_271750,d_5375
f_497537,d_22612
f_519541,d_7240
f_225298,d_17354
f_142964,d_28605
f_546615,d_4162
f_511109,d_20241
f_313694,d_16803
f_181933,d_10664
f_54687,d_7067
f_535745,d_25594
f_109517,d_4283
f_345619,d_14397
f_342330,d_5450
f_422786,d_7233
f_483034,d_23530
f_366503,d_6874
f_104519,d_13095
f_496631,d_17719
f_350727,d_15885
f_551059,d_27203
f_200443,d_12963
f_11795,d_696
f_345694,d_12074
f_539545,d_18291
f_56507,d_2263
f_413021,d_23190
f_7591,d_19293
f_462986,d_14148
f_596128,d_30703
f_261590,d_29938
f_247415,d_14134
f_333759,d_5732
f_94889,d_26885
f_546303,d_4013
f_322515,d_28789
f_411169,d_17053
f_269668,d_18695
f_261746,d_13604
f_334315,d_4705
f_147434,d_15050
f_134566,d_15939
f_459132,d_8618
f_359614,d_22265
f_17710,d_30586
f_598363,d_15868
f_236247,d_24847
f_87526,d_6032
f_432989,d_6936
f_494897,d_2340
f_580878,d_1199
f_520560,d_4141
f_249600,d_9787
f_147545,d_340
f_440975,d_21683
f_176362,d_29562
f_569312,d_9876
f_132313,d_13911
f_489242,d_30749
f_296698,d_13076
f_13393,d_14664
f_270749,d_527
f_523186,d_23840
f_409094,d_8405
f_644780,d_25944
f_227775,d_15435
